step,wp0_x,wp0_y,wp1_x,wp1_y,ego_speed,steer,throttle,brake
0,0.2046,0.0027,1.6542,0.0000,0.0001,0.0000,0.0000,1.0000
1,0.2046,0.0027,1.6542,0.0000,0.0000,0.0000,0.0000,1.0000
2,0.2046,0.0027,1.6542,0.0000,0.0000,0.0005,0.7500,0.0000
3,0.2046,0.0027,1.6542,0.0000,0.0001,0.0006,0.7500,0.0000
4,0.2046,0.0027,1.6542,0.0000,0.0001,0.0006,0.7500,0.0000
5,0.2044,0.0027,1.6535,0.0000,0.0001,0.0006,0.7500,0.0000
6,0.2175,-0.0003,1.6144,-0.0008,0.0001,-0.0003,0.7500,0.0000
7,0.2293,-0.0019,1.6335,-0.0011,0.0000,-0.0005,0.7500,0.0000
8,0.3552,-0.0029,1.9420,-0.0014,0.1604,-0.0007,0.7500,0.0000
9,0.5938,0.0007,2.4975,-0.0008,0.8412,0.0002,0.7500,0.0000
10,0.6991,0.0002,2.6927,-0.0013,1.1816,-0.0001,0.7500,0.0000
11,0.7007,0.0000,2.6918,-0.0014,1.4327,-0.0002,0.7500,0.0000
12,0.7008,-0.0000,2.6872,-0.0013,1.7024,-0.0001,0.7500,0.0000
13,0.7005,-0.0013,2.6815,-0.0019,1.9807,-0.0005,0.7500,0.0000
14,0.6884,-0.0007,2.6638,-0.0011,2.3197,-0.0002,0.7500,0.0000
15,0.7176,-0.0015,2.7014,-0.0020,2.7059,-0.0005,0.7500,0.0000
16,0.7158,-0.0012,2.7008,-0.0017,3.1327,-0.0004,0.7500,0.0000
17,0.6903,-0.0001,2.6611,-0.0003,3.5944,0.0000,0.7500,0.0000
18,0.6851,0.0003,2.6568,0.0001,4.0509,0.0001,0.7500,0.0000
19,0.6971,-0.0000,2.6709,-0.0004,4.4710,-0.0001,0.7500,0.0000
20,0.6964,0.0004,2.6697,-0.0002,4.8814,0.0000,0.7500,0.0000
21,0.6763,0.0020,2.6404,0.0019,5.2091,0.0006,0.7500,0.0000
22,0.6620,0.0031,2.6063,0.0021,5.1048,0.0007,0.7500,0.0000
23,0.6639,0.0022,2.6235,0.0014,5.1635,0.0004,0.7500,0.0000
24,0.6621,0.0005,2.6204,-0.0003,5.3677,-0.0001,0.7500,0.0000
25,0.6667,-0.0001,2.6400,-0.0006,5.6830,-0.0002,0.7500,0.0000
26,0.6328,0.0000,2.5242,-0.0012,5.7156,-0.0002,0.7500,0.0000
27,0.6642,-0.0002,2.6306,-0.0004,6.8119,-0.0001,0.7500,0.0000
28,0.6702,-0.0003,2.6439,-0.0003,7.6789,-0.0001,0.0000,0.0000
29,0.6586,0.0005,2.6229,0.0002,7.9698,-0.0000,0.0000,1.0000
30,0.6617,0.0002,2.6330,-0.0003,7.8632,-0.0000,0.0000,1.0000
31,0.6628,0.0002,2.6362,-0.0002,7.4598,0.0000,0.0985,0.0000
